,물품대분류,상품명,물품판매량,제품단가,재구매기간0-10,재구매기간11-20,재구매기간21-30,재구매기간31-40,재구매기간41-50,재구매기간51-60,재구매기간61-70,재구매기간71-80,재구매기간81-90,재구매기간91-100,재구매기간101-
105,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩 + 20주년 한정판 파우치,25,15900,,,,,,,,,,,
106,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩 + 뉴 울트라 날개 중형 8매,39,15900,1.0,,,,,,,,,,
107,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입,25,11760,7.0,1.0,1.0,,,,,,,,
108,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩,4,21000,,,,,,,,,,,
109,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩 + 20주년 한정판 파우치,8,16800,,,,,,,,,,,
110,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩 + 뉴 울트라 날개 중형 8매,12,16800,,,,,,,,,,,
111,FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입,91,9835,3.0,,,,1.0,1.0,,,,,
112,FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입 X 3팩,15,16000,,,,,,,,,,,
113,FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입 X 3팩 + 20주년 한정판 파우치,3,15000,,,,,,,,,,,
114,FC,좋은느낌 매직쿠션 울트라 날개 대형 17개입,42,10255,1.0,,,,,,,,,,
115,FC,좋은느낌 매직쿠션 울트라 날개 중형 19개입,81,10907,,,1.0,,,,,,,,
116,FC,좋은느낌 솜솜 대형 날개형 12개입,313,3623,14.0,1.0,5.0,1.0,3.0,4.0,2.0,3.0,,,5.0
117,FC,좋은느낌 솜솜 대형 날개형 12개입 (EA),19,4697,,,,,,,,1.0,,,
118,FC,좋은느낌 솜솜 소중형 날개형 14개입,34,4529,,,,,,,,,,,
119,FC,좋은느낌 솜솜 수퍼롱 오버나이트 8개입,336,5201,10.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,,1.0,2.0
120,FC,좋은느낌 솜솜 수퍼롱 오버나이트 8개입 (EA),34,4926,,,,,,,,,,,
121,FC,좋은느낌 솜솜 중형 날개형 14개입,353,4283,13.0,2.0,5.0,3.0,1.0,,4.0,,2.0,,6.0
122,FC,좋은느낌 솜솜 중형 날개형 14개입 (EA),47,3947,,,,1.0,,,,,,,
123,FC,좋은느낌 솜솜 특대형 날개형 12개입,37,4541,,,,,,,,,,,
124,FC,좋은느낌 순수 울트라 날개 대형 16개입,246,5359,5.0,1.0,3.0,,,,2.0,,1.0,1.0,7.0
125,FC,좋은느낌 순수 울트라 날개 대형 16개입 (EA),38,4379,,,,,,,,,,,
126,FC,좋은느낌 순수 울트라 날개 중형 18개입,390,5693,9.0,1.0,6.0,4.0,,2.0,,,1.0,,3.0
