물품대분류,상품명,물품판매량,제품단가,브랜드명,물품분류,물품중분류,기저귀 유형,기저귀 단계,Age_Range,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 (EA),18,5035,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 2팩 + 뉴 슬림 날개 대형 14개입 + 20주년 한정판 파우치,28,16700,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 2팩 + 뉴 슬림 날개 대형 14개입 + 뉴 울트라 날개 중형 8매,26,16700,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩,15,15900,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩 + 20주년 한정판 파우치,53,15900,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩 + 뉴 울트라 날개 중형 8매,57,15900,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입,78,7406,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 (EA),8,5366,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩,16,14906,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩 + 20주년 한정판 파우치,25,15900,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩 + 뉴 울트라 날개 중형 8매,39,15900,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입,25,11760,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩,4,21000,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩 + 20주년 한정판 파우치,8,16800,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩 + 뉴 울트라 날개 중형 8매,12,16800,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입,91,9835,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입 X 3팩,15,16000,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입 X 3팩 + 20주년 한정판 파우치,3,15000,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 매직쿠션 울트라 날개 대형 17개입,42,10255,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 매직쿠션 울트라 날개 중형 19개입,81,10907,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 솜솜 대형 날개형 12개입,313,3623,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 솜솜 대형 날개형 12개입 (EA),19,4697,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 솜솜 소중형 날개형 14개입,34,4529,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 솜솜 수퍼롱 오버나이트 8개입,336,5201,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 솜솜 수퍼롱 오버나이트 8개입 (EA),34,4926,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 솜솜 중형 날개형 14개입,353,4283,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 솜솜 중형 날개형 14개입 (EA),47,3947,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 솜솜 특대형 날개형 12개입,37,4541,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 순수 울트라 날개 대형 16개입,246,5359,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 순수 울트라 날개 대형 16개입 (EA),38,4379,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 순수 울트라 날개 중형 18개입,390,5693,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 순수 울트라 날개 중형 18개입 (EA),34,4512,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 순수 팬티라이너 롱 18개입,571,3074,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 순수 팬티라이너 롱 18개입 (EA),26,3400,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 에어핏쿠션 슬림 날개 수퍼롱 오버나이트 20개입,38,17234,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 에어핏쿠션 슬림 날개 수퍼롱 오버나이트 20개입 (EA),15,11107,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입,127,8999,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입 (EA),6,6195,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입 X 3,12,22750,좋은느낌,여성용품,생리대,,,NaN,,,
FC,좋은느낌 에어핏쿠션 울트라 날개 중형 18개입X2 + 슬림 날개 수퍼롱 오버나이트 10개입,58,17797,좋은느낌,여성용품,생리대,,,NaN,,,
